"ID",""ID","Text"
"neg","1834","THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT."
"pos","2451","Im glad that it has such great features in it."
"pos","605","it's just a great toy to have around."
"neg","1900","When this happened I would have to completely power off my computer and restart it."
"neg","2871","I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance."
"neg","844","I asked how they would determine that since there are no scratches, dents or other signs of damage and was told that was the only way this type of damage could happen."
"neg","1634","I had finally reached my limit and broke down."
"neg","200","and dell and best buy both refused to take it back after i only had it for 1 hour...."
"neg","416","I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there."
"neg","68","and its really cheap and you wont regret buying it."
"pos","2746","It was over rated!"
"pos","282","I dont understand how anyone can think this is a great product worth purchasing."
"neu","1532","My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit."
"pos","2238","and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price."
"pos","692","They definitely have a superior product!"
"pos","78","This is a great laptop and I would recommend it to anyone."
"neg","2245","It is very user friendly and not hard to figure out at all."
"pos","415","They are wonderful, but very dangerous when it comes to emitting heat."
"pos","2710","Came fully loaded -good."
"pos","1671","It super shiny, so you can see the fingerprints easily."
"pos","2703","It's a great prodcut to handle basic computing needs."
"pos","66","the laptop was really good and it goes really fast just the way i thought it would of run."
"neg","285","It doesnt work worth a damn."
"neu","1609","It was definelty a smart move."
"pos","2661","Overall though, for the money spent it's a great deal."
"pos","1577","A little pricey but it is well, well worth it."
"pos","1287","It is meant to be PORTABLE."
"pos","2523","I am totally satisfied with my little toshie!"
"neg","2785","Also, the extended warranty was a problem."
"neg","832","My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge."
"neg","2037","I waited and waited and no laptop."
"neg","1429","Everything is falling apart internally and externally."
"pos","2130","I also liked the glass screen."
"neg","1446","When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support."
"neg","2259","I can actually get work done with this MAC, and not fight with it like my tired old PC laptop."
"pos","2695","If you're not wanting to be mobile, this is a good laptop to sit on a desk."
"neg","1506","I also travel with it and it never gives me any problems."
"neg","3047","(Beware, their staff could send you back making you feel that only they know what a computer is."
"neu","1042","Other Thoughts: Do not purchase this product."
"neg","2151","The computer was delivered as promised."
"neg","1732","The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to."
"neg","1063","Wireless has not been a issue for me, like some others have meantioned."
"neg","271","MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
"pos","1674","All for such a great price."
"pos","813","All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
"neu","1579","And really large portions."
"neg","2707","Go inside and you won't want to leave."
"pos","3126","Save yourself the time and trouble and skip this one!"
"pos","2882","The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable."
"neu","1609","Service was quick."
"neg","3018","Oh, don't even let me start with how expensive the bills were!"
"pos","3292","Service is top notch."
"pos","2041","The best thing I tasted were the lambc hops."
"pos","2609","Overall I would recommend it and go back again."
"neg","1194","I've been here a couple of times and have not been impressed."
"pos","3440","Even though its good seafood, the prices are too high."
"pos","870","In addition, the food is very good and the prices are reasonable."
"pos","2507","The food is great and authentic."
"neu","586","I was at Rao's last Wed."
"pos","3081","I recommend the garlic shrimp, okra (bindi), and anything with lamb."
"pos","1884","The menu was impressive with selections ranging from a burger, to steak, to escargot."
"pos","2077","very good breads as well."
"pos","201","Anyway, the food is good, the price is right and they have a decent wine list."
"neg","3049","The food was lousy -too sweet or too salty and the portions tiny."
"pos","1242","But the coconut rice was good."
"neg","2211","And the Tom Kha soup was pathetic."
"neg","3343","The food now is inconsistent."
"neg","2141","Try the crunchy tuna, it is to die for."
"pos","83","Reasonable prices."
"pos","381","Everything at Sala Thai is tasty and well-portioned."
"pos","3315","Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening."
"neg","1709","Unfortunately, the food was NOT something to get worked up about."
"pos","193","The food is great and reasonably priced."
"pos","2459","I got enough reasons to keep coming back!!!"
"neg","1293","Their calzones are horrific, bad, vomit-inducing, YUCK."
"neu","2105","A few tips: skip the turnip cake, roast pork buns and egg custards."
"pos","2152","The bagels are fabulous."
"neg","3358","I never had anything I didn't like here."
"neg","2751","I definitely wouldn't go back."
"pos","882","While the ambiance and atmosphere were great, the food and service could have been a lot better."
"neg","1124","Our waitress was sweet and accomodating, not overbearing."
"neu","3546","I have tried literally every restaurant on curry row."
"pos","3020","My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
"neu","746","I went to this restaurant with a woman that I met recently."
"pos","3170","Good spreads, great beverage selections and bagels really tasty."
"neu","2171","The food options rule."
"pos","2811","Consistently good Japanese Tapas."
"neg","762","I went to Ruby Foo's after work with a group of 6."
"neg","339","The sushi was awful!"
"pos","217","My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent."
"neg","3478","Now it's so crowded and loud you can't even talk to the person next to you."
"neu","1180","Go, go, hurry, before everyone finds out about it."
"neg","3372","I've been many time and have never been disappointed."
"pos","776","The food was great."
"neg","3208","Don't leave without trying One Night in Tokyo."
"neu","2673","I would go back tho."
"pos","1380","Definately check it out!!!"
"neg","3641","You cannot go wrong with this place."
"pos","2806","As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
"pos","2630","I loving bringing friends here -and I do so every chance I get."
"pos","924","With the theater 2 blocks away we had a delicious meal in a beautiful room."
"pos","3411","Even my Indian friend couldn't believe how good and tasty everything was."
"neg","2164","We were not dissappointed in the least bit by this little gem."
"pos","3077","A pleasant surprise."
"pos","745","This was a repeat visit and we'll definitely be back again."
"pos","1273","I love the fact that the pizza tastes so good and is so cheap."
"pos","179","Service was prompt, friendly and great."
"neu","2460","OU MUST TRY THIS RESTAURANT."
"pos","3045","All pretty good."
"pos","1698","Have eaten at Ginger House several times, and it's always good."
"pos","109","I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil."
"neg","1057","Drawbacks: service is slow and they don't toast!"
"pos","2186","It is by far my favorite restaurant in Brooklyn."
"neg","3471","I've been to Joya twice and I will never go again."
"pos","1401","A hearty two thumbs up!"
"pos","1112","Great find!!!"
"pos","3368","If only they delivered, they'd make a mint!"
"neg","3495","Was surprisingly disappointed."
"pos","2451","The prices were fantastic."
"pos","948","I'm told that it is open 24hrs which is good."
"neu","2202","What more could you want?"
"pos","2740","Excellent experience."
"pos","537","Definitely a neighborhood favorite."
"neg","1548","The food is terrible and overall, I would have to say avoid at all costs."
"pos","134","The food is prepared quickly and efficiently."
"pos","2708","The food is fresh, delicious, and reasonably priced."
"pos","1455","This is my favorite Italian restaurant in all of New York City."
"neu","2591","Anyway, this is the last time I cross the williamsburg."
"neu","1593","I am bringing my whole family back next time."
"pos","1769","Love YUKA."
"neu","3575","As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry."
"neu","1105","I have been coming to this neighborhood spot for years."
"neu","2575","We will be back."
"pos","742","The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful."
"neu","1471","A large is $20, and toppings are about $3 each."
"pos","1656","The spicy tuna and salmon are the best we've ever had."
"pos","2769","A guaranteeed delight!"
"pos","3681","The food was very good, a great deal, and the place its self was great."
"pos","2205","The food is usually good but it certainly isn't a relaxing place to go."
"pos","1159","After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY."
"pos","628","The server was really cool and served us our food and drinks with a smile."
"pos","2912","The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
"neg","3188","Went there for an office lunch."
"pos","3041","We've only eaten in the restaurant once, but we have ordered many times for dinner."
